record_id,facility_name,identity,facility_type,district,coordinate,beneficiary,solar_ghi,karhutla,kekeringan,existing_energy_context,source_provenance,canonical_beneficiary_status,facility_existing_plts,existing_energy_context_scope,context_asset_ids,facility_energy_profile_status,quality_flags,source_name,source_url,evidence_refs,notes
EDU-001,SMAN 1 SUNGAI RAYA,available,available,available,available,available,requires_external_acquisition,requires_external_acquisition,requires_external_acquisition,available,available,available,,facility_profile,,available,MISSING_CRITICAL;REQUIRES_EXTERNAL_ACQUISITION;REQUIRES_VERIFICATION,Kemendikdasmen - Referensi Data Pendidikan,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30101104,EV-P3-FAC;EV-P3-BEN;EV-P3-GSA;EV-P3-INA,Source provenance tersedia untuk fakta fasilitas dan audit missingness; bukan jaminan provenance nilai solar/hazard yang belum ada. NULL beneficiary bukan nol. existing_energy_context bukan hubungan suplai atau PLTS di fasilitas; context_asset_ids hanya konteks administratif. Point-in-polygon pending.
EDU-002,SMAN 1 SUNGAI KAKAP,available,available,available,available,available,requires_external_acquisition,requires_external_acquisition,requires_external_acquisition,available,available,available,,facility_profile,,available,MISSING_CRITICAL;REQUIRES_EXTERNAL_ACQUISITION;REQUIRES_VERIFICATION,Kemendikdasmen - Referensi Data Pendidikan,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30101107,EV-P3-FAC;EV-P3-BEN;EV-P3-GSA;EV-P3-INA,Source provenance tersedia untuk fakta fasilitas dan audit missingness; bukan jaminan provenance nilai solar/hazard yang belum ada. NULL beneficiary bukan nol. existing_energy_context bukan hubungan suplai atau PLTS di fasilitas; context_asset_ids hanya konteks administratif. Point-in-polygon pending.
EDU-003,SMP NEGERI 1 TERENTANG,available,available,available,available,secondary_only,requires_external_acquisition,requires_external_acquisition,requires_external_acquisition,available,available,null_documented,,facility_profile,,available,MISSING_CRITICAL;REQUIRES_EXTERNAL_ACQUISITION;REQUIRES_VERIFICATION;MISSING_NONCRITICAL;SECONDARY_ONLY,Kemendikdasmen - Referensi Data Pendidikan,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30100908,EV-P3-FAC;EV-P3-BEN;EV-P3-GSA;EV-P3-INA,Source provenance tersedia untuk fakta fasilitas dan audit missingness; bukan jaminan provenance nilai solar/hazard yang belum ada. NULL beneficiary bukan nol. existing_energy_context bukan hubungan suplai atau PLTS di fasilitas; context_asset_ids hanya konteks administratif. Point-in-polygon pending.
EDU-004,SMAN 1 KUBU,available,available,available,available,null_documented,requires_external_acquisition,requires_external_acquisition,requires_external_acquisition,null_documented,available,null_documented,,unknown,,null_documented,MISSING_CRITICAL;REQUIRES_EXTERNAL_ACQUISITION;REQUIRES_VERIFICATION;MISSING_NONCRITICAL,Kemendikdasmen - Referensi Data Pendidikan,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30101121,EV-P3-FAC;EV-P3-BEN;EV-P3-GSA;EV-P3-INA,Source provenance tersedia untuk fakta fasilitas dan audit missingness; bukan jaminan provenance nilai solar/hazard yang belum ada. NULL beneficiary bukan nol. existing_energy_context bukan hubungan suplai atau PLTS di fasilitas; context_asset_ids hanya konteks administratif. Point-in-polygon pending.
EDU-005,SD NEGERI 22 BATU AMPAR,available,available,available,available,available,requires_external_acquisition,requires_external_acquisition,requires_external_acquisition,historical_only,available,available,,district,PLTS-001;PLTS-002;PLTS-003,available,MISSING_CRITICAL;REQUIRES_EXTERNAL_ACQUISITION;REQUIRES_VERIFICATION;HISTORICAL_ONLY;SOURCE_CONFLICT,Kemendikdasmen - Referensi Data Pendidikan,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30108035,EV-P3-FAC;EV-P3-BEN;EV-P3-GSA;EV-P3-INA;EV-P3-PLTS;CF-001;CF-006,Source provenance tersedia untuk fakta fasilitas dan audit missingness; bukan jaminan provenance nilai solar/hazard yang belum ada. NULL beneficiary bukan nol. existing_energy_context bukan hubungan suplai atau PLTS di fasilitas; context_asset_ids hanya konteks administratif. Point-in-polygon pending.
EDU-006,SD NEGERI 07 BATU AMPAR,available,available,available,available,available,requires_external_acquisition,requires_external_acquisition,requires_external_acquisition,historical_only,available,available,,district,PLTS-001;PLTS-002;PLTS-003,available,MISSING_CRITICAL;REQUIRES_EXTERNAL_ACQUISITION;REQUIRES_VERIFICATION;HISTORICAL_ONLY;SOURCE_CONFLICT,Kemendikdasmen - Referensi Data Pendidikan,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30101619,EV-P3-FAC;EV-P3-BEN;EV-P3-GSA;EV-P3-INA;EV-P3-PLTS;CF-001;CF-006,Source provenance tersedia untuk fakta fasilitas dan audit missingness; bukan jaminan provenance nilai solar/hazard yang belum ada. NULL beneficiary bukan nol. existing_energy_context bukan hubungan suplai atau PLTS di fasilitas; context_asset_ids hanya konteks administratif. Point-in-polygon pending.
EDU-007,SMKN 1 BATU AMPAR,available,available,available,available,secondary_only,requires_external_acquisition,requires_external_acquisition,requires_external_acquisition,historical_only,available,null_documented,,district,PLTS-001;PLTS-002;PLTS-003,available,MISSING_CRITICAL;REQUIRES_EXTERNAL_ACQUISITION;REQUIRES_VERIFICATION;MISSING_NONCRITICAL;SECONDARY_ONLY;HISTORICAL_ONLY;SOURCE_CONFLICT,Kemendikdasmen - Referensi Data Pendidikan,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30109720,EV-P3-FAC;EV-P3-BEN;EV-P3-GSA;EV-P3-INA;EV-P3-PLTS;CF-001;CF-006,Source provenance tersedia untuk fakta fasilitas dan audit missingness; bukan jaminan provenance nilai solar/hazard yang belum ada. NULL beneficiary bukan nol. existing_energy_context bukan hubungan suplai atau PLTS di fasilitas; context_asset_ids hanya konteks administratif. Point-in-polygon pending.
HLT-001,PUSKESMAS PADANG TIKAR,available,available,available,available,null_documented,requires_external_acquisition,requires_external_acquisition,requires_external_acquisition,historical_only,available,null_documented,,district,PLTS-001;PLTS-002;PLTS-003,null_documented,MISSING_CRITICAL;REQUIRES_EXTERNAL_ACQUISITION;REQUIRES_VERIFICATION;MISSING_NONCRITICAL;HISTORICAL_ONLY;SOURCE_CONFLICT,Portal Resmi UPTD Puskesmas Padang Tikar,https://pkm-padangtikar.kuburayakab.go.id/,EV-P3-FAC;EV-P3-BEN;EV-P3-GSA;EV-P3-INA;EV-P3-PLTS;CF-001;CF-006,Source provenance tersedia untuk fakta fasilitas dan audit missingness; bukan jaminan provenance nilai solar/hazard yang belum ada. NULL beneficiary bukan nol. existing_energy_context bukan hubungan suplai atau PLTS di fasilitas; context_asset_ids hanya konteks administratif. Point-in-polygon pending. Koordinat HLT bersumber 2021.
HLT-002,PUSKESMAS SUNGAI KERAWANG,available,available,available,available,null_documented,requires_external_acquisition,requires_external_acquisition,requires_external_acquisition,historical_only,available,null_documented,,village,PLTS-002,null_documented,MISSING_CRITICAL;REQUIRES_EXTERNAL_ACQUISITION;REQUIRES_VERIFICATION;MISSING_NONCRITICAL;HISTORICAL_ONLY;SOURCE_CONFLICT,Portal Resmi UPTD Puskesmas Sungai Kerawang,https://pkm-sungaikerawang.kuburayakab.go.id/,EV-P3-FAC;EV-P3-BEN;EV-P3-GSA;EV-P3-INA;EV-P3-PLTS;CF-001;CF-006,Source provenance tersedia untuk fakta fasilitas dan audit missingness; bukan jaminan provenance nilai solar/hazard yang belum ada. NULL beneficiary bukan nol. existing_energy_context bukan hubungan suplai atau PLTS di fasilitas; context_asset_ids hanya konteks administratif. Point-in-polygon pending. Koordinat HLT bersumber 2021.
HLT-003,PUSKESMAS KUBU,available,available,available,available,null_documented,requires_external_acquisition,requires_external_acquisition,requires_external_acquisition,null_documented,available,null_documented,,unknown,,null_documented,MISSING_CRITICAL;REQUIRES_EXTERNAL_ACQUISITION;REQUIRES_VERIFICATION;MISSING_NONCRITICAL;HISTORICAL_ONLY,Portal Resmi UPTD Puskesmas Kubu,https://pkm-kubu.kuburayakab.go.id/,EV-P3-FAC;EV-P3-BEN;EV-P3-GSA;EV-P3-INA,Source provenance tersedia untuk fakta fasilitas dan audit missingness; bukan jaminan provenance nilai solar/hazard yang belum ada. NULL beneficiary bukan nol. existing_energy_context bukan hubungan suplai atau PLTS di fasilitas; context_asset_ids hanya konteks administratif. Point-in-polygon pending. Koordinat HLT bersumber 2021.
