beneficiary_observation_id,record_id,facility_type,beneficiary_value,beneficiary_type,beneficiary_unit,is_proxy,proxy_level,proxy_overlap_risk,geographic_scope,data_reference_date,data_year,source_name,source_url,source_authority,retrieved_at,verification_method,verification_status,why_null,notes
BEN-001,EDU-001,Sekolah,,unknown,,false,,false,,,,,,,,,not_available,"EGRESS_BLOCKED pada referensi.data.kemendikdasmen.go.id (uji 2026-09-14); student_count belum diakuisisi","Target: student_count facility-level dari profil resmi NPSN 30101104. Lihat REQ-BEN-EDU-01."
BEN-002,EDU-002,Sekolah,,unknown,,false,,false,,,,,,,,,not_available,"EGRESS_BLOCKED pada referensi.data.kemendikdasmen.go.id (uji 2026-09-14); student_count belum diakuisisi","Target: student_count facility-level dari profil resmi NPSN 30101107. Lihat REQ-BEN-EDU-01."
BEN-003,EDU-003,Sekolah,,unknown,,false,,false,,,,,,,,,not_available,"EGRESS_BLOCKED pada referensi.data.kemendikdasmen.go.id (uji 2026-09-14); student_count belum diakuisisi","Target: student_count facility-level dari profil resmi NPSN 30100908. Lihat REQ-BEN-EDU-01."
BEN-004,EDU-004,Sekolah,,unknown,,false,,false,,,,,,,,,not_available,"EGRESS_BLOCKED pada referensi.data.kemendikdasmen.go.id (uji 2026-09-14); student_count belum diakuisisi","Target: student_count facility-level dari profil resmi NPSN 30101121. Perhatian: NPSN ini bernama sama dengan sekolah di Kab. Rokan Hilir - pastikan tidak tertukar. Lihat REQ-BEN-EDU-01."
BEN-005,EDU-005,Sekolah,,unknown,,false,,false,,,,,,,,,not_available,"EGRESS_BLOCKED pada referensi.data.kemendikdasmen.go.id (uji 2026-09-14); student_count belum diakuisisi","Target: student_count facility-level dari profil resmi NPSN 30108035. Lihat REQ-BEN-EDU-01."
BEN-006,EDU-006,Sekolah,,unknown,,false,,false,,,,,,,,,not_available,"EGRESS_BLOCKED pada referensi.data.kemendikdasmen.go.id (uji 2026-09-14); student_count belum diakuisisi","Target: student_count facility-level dari profil resmi NPSN 30101619. Lihat REQ-BEN-EDU-01."
BEN-007,EDU-007,Sekolah,,unknown,,false,,false,,,,,,,,,not_available,"EGRESS_BLOCKED pada referensi.data.kemendikdasmen.go.id (uji 2026-09-14); student_count belum diakuisisi","Target: student_count facility-level dari profil resmi NPSN 30109720. Lihat REQ-BEN-EDU-01."
BEN-008,HLT-001,Puskesmas,,unknown,,false,,true,,,,,,,,,not_available,"Tidak ditemukan official service population; EGRESS_BLOCKED pada pkm-*.kuburayakab.go.id dan kuburayakab.bps.go.id (uji 2026-09-14)","Target LEVEL 1/2: official service atau wilayah kerja population. proxy_overlap_risk=true: HLT-001 dan HLT-002 sama-sama di Kec. BATU AMPAR, sehingga populasi kecamatan TIDAK boleh dialokasikan penuh ke masing-masing. Lihat REQ-BEN-HEALTH-01."
BEN-009,HLT-002,Puskesmas,,unknown,,false,,true,,,,,,,,,not_available,"Tidak ditemukan official service population; EGRESS_BLOCKED pada pkm-*.kuburayakab.go.id dan kuburayakab.bps.go.id (uji 2026-09-14)","Target LEVEL 1/2: official service atau wilayah kerja population. proxy_overlap_risk=true: satu kecamatan (BATU AMPAR) dengan HLT-001. Lihat REQ-BEN-HEALTH-01."
BEN-010,HLT-003,Puskesmas,,unknown,,false,,unknown,,,,,,,,,not_available,"Tidak ditemukan official service population; EGRESS_BLOCKED pada pkm-*.kuburayakab.go.id dan kuburayakab.bps.go.id (uji 2026-09-14)","Target LEVEL 1/2: official service atau wilayah kerja population. proxy_overlap_risk=unknown: tidak dapat dipastikan apakah ada puskesmas lain di Kec. KUBU karena 20 record identity-only belum memiliki district. Lihat REQ-BEN-HEALTH-01."
