hazard_observation_id,record_id,facility_name,latitude,longitude,hazard_type,metric_type,raw_value,raw_class,unit_or_scale,source_name,source_url,source_authority,dataset_year,geometry_or_raster_type,extraction_method,point_in_polygon_status,retrieved_at,verification_method,verification_status,why_null,notes,source_url_role,request_created_at
HAZ-001,EDU-001,SMAN 1 SUNGAI RAYA,-0.0762,109.3758,karhutla,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KARHUTLA/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-002,EDU-001,SMAN 1 SUNGAI RAYA,-0.0762,109.3758,kekeringan,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KEKERINGAN/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-003,EDU-002,SMAN 1 SUNGAI KAKAP,-0.0565,109.2021,karhutla,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KARHUTLA/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-004,EDU-002,SMAN 1 SUNGAI KAKAP,-0.0565,109.2021,kekeringan,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KEKERINGAN/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-005,EDU-003,SMP NEGERI 1 TERENTANG,-0.3839,109.6277,karhutla,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KARHUTLA/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-006,EDU-003,SMP NEGERI 1 TERENTANG,-0.3839,109.6277,kekeringan,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KEKERINGAN/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-007,EDU-004,SMAN 1 KUBU,-0.4882,109.3812,karhutla,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KARHUTLA/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-008,EDU-004,SMAN 1 KUBU,-0.4882,109.3812,kekeringan,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KEKERINGAN/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-009,EDU-005,SD NEGERI 22 BATU AMPAR,-0.7245,109.5745,karhutla,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KARHUTLA/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-010,EDU-005,SD NEGERI 22 BATU AMPAR,-0.7245,109.5745,kekeringan,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KEKERINGAN/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
