record_id,facility_source_id,facility_name,facility_type,official_status,address,village,district,regency,province,latitude,longitude,coordinate_quality,coordinate_source_name,coordinate_source_url,coordinate_source_type,coordinate_method,coordinate_source_data_year,coordinate_retrieved_at,coordinate_vstatus,coordinate_notes,official_identity_source,official_address_source,secondary_coordinate_source,cross_validation_status,source_name,source_url,data_year,retrieved_at,facility_name_vstatus,facility_type_vstatus,official_status_vstatus,address_vstatus,village_vstatus,district_vstatus,potential_duplicate,duplicate_of,coordinate_outlier,notes,verification_status,verification_method
HF-001,,Puskesmas Sungai Durian,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-002,,Puskesmas Sungai Raya Dalam,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-003,,Puskesmas Korpri,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-004,,Puskesmas Sungai Asam,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-005,,Puskesmas Sungai Kakap,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-006,,Puskesmas Punggur,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-007,,Puskesmas Sungai Rengas,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-008,,Puskesmas Teluk Pakedai,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-009,,Puskesmas Sungai Ambawang,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-010,,Puskesmas Lingga,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; riset sebelumnya menyebut kode P6112080103 dan alamat Sungai Ambawang - belum diverifikasi,,
HF-011,,Puskesmas Parit Timur,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-012,,Puskesmas Kuala Mandor B,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-013,,Puskesmas Batu Ampar,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; nama sama dengan kecamatan lokasi 3 PLTS eksisting - prioritas penelusuran,,
HF-014,,Puskesmas Padang Tikar,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,true,HLT-001,,"identity-only; district tidak diinferensi dari nama; nama cocok lintas sumber - TIDAK di-merge, menunggu identifier resmi",,
HF-015,,Puskesmas Sungai Kerawang,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,true,HLT-002,,"identity-only; nama sama dengan desa penerima PLTS 2021 (EV-F) - prioritas penelusuran; keterkaitan belum diverifikasi; nama cocok lintas sumber - TIDAK di-merge, menunggu identifier resmi",,
HF-016,,Puskesmas Rasau Jaya,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-017,,Puskesmas Terentang,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
HF-018,,Puskesmas Sungai Radak,Puskesmas,,,,,Kabupaten Kubu Raya,Kalimantan Barat,,,missing,,,,,,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,,,Satu Data/Diskominfo Kabupaten Kubu Raya - Portal Website Perangkat Daerah Tahun 2024,,2024,2026-09-12,verified_primary,verified_primary,,,,,,,,identity-only; district tidak diinferensi dari nama,,
