solar_observation_id,record_id,facility_name,latitude,longitude,ghi_value,ghi_unit,source_name,source_url,source_dataset,source_authority,source_role,spatial_resolution,temporal_coverage,data_year_or_period,extraction_method,point_in_polygon_status,retrieved_at,verification_method,verification_status,why_null,notes,ghi_unit_expected,value_scope,scoring_eligibility,license,attribution_required
SOL-001,EDU-001,SMAN 1 SUNGAI RAYA,-0.0762,109.3758,,,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,B,primary_spatial_screening,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,pending,2026-09-15,external_web_research,requires_point_extraction,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.,Prompt 3 package 2026-09-15: source metadata dan lisensi CC BY 4.0 terverifikasi; ghi_value tetap NULL menunggu ekstraksi titik/raster. ghi_unit dikosongkan karena tidak ada nilai; satuan yang diharapkan dicatat di ghi_unit_expected.,kWh/m²/day,site_point_requested,not_yet_eligible,CC BY 4.0,true
SOL-002,EDU-002,SMAN 1 SUNGAI KAKAP,-0.0565,109.2021,,,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,B,primary_spatial_screening,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,pending,2026-09-15,external_web_research,requires_point_extraction,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.,Prompt 3 package 2026-09-15: source metadata dan lisensi CC BY 4.0 terverifikasi; ghi_value tetap NULL menunggu ekstraksi titik/raster. ghi_unit dikosongkan karena tidak ada nilai; satuan yang diharapkan dicatat di ghi_unit_expected.,kWh/m²/day,site_point_requested,not_yet_eligible,CC BY 4.0,true
SOL-003,EDU-003,SMP NEGERI 1 TERENTANG,-0.3839,109.6277,,,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,B,primary_spatial_screening,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,pending,2026-09-15,external_web_research,requires_point_extraction,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.,Prompt 3 package 2026-09-15: source metadata dan lisensi CC BY 4.0 terverifikasi; ghi_value tetap NULL menunggu ekstraksi titik/raster. ghi_unit dikosongkan karena tidak ada nilai; satuan yang diharapkan dicatat di ghi_unit_expected.,kWh/m²/day,site_point_requested,not_yet_eligible,CC BY 4.0,true
SOL-004,EDU-004,SMAN 1 KUBU,-0.4882,109.3812,,,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,B,primary_spatial_screening,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,pending,2026-09-15,external_web_research,requires_point_extraction,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.,Prompt 3 package 2026-09-15: source metadata dan lisensi CC BY 4.0 terverifikasi; ghi_value tetap NULL menunggu ekstraksi titik/raster. ghi_unit dikosongkan karena tidak ada nilai; satuan yang diharapkan dicatat di ghi_unit_expected.,kWh/m²/day,site_point_requested,not_yet_eligible,CC BY 4.0,true
SOL-005,EDU-005,SD NEGERI 22 BATU AMPAR,-0.7245,109.5745,,,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,B,primary_spatial_screening,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,pending,2026-09-15,external_web_research,requires_point_extraction,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.,Prompt 3 package 2026-09-15: source metadata dan lisensi CC BY 4.0 terverifikasi; ghi_value tetap NULL menunggu ekstraksi titik/raster. ghi_unit dikosongkan karena tidak ada nilai; satuan yang diharapkan dicatat di ghi_unit_expected.,kWh/m²/day,site_point_requested,not_yet_eligible,CC BY 4.0,true
SOL-006,EDU-006,SD NEGERI 07 BATU AMPAR,-0.7516,109.5388,,,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,B,primary_spatial_screening,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,pending,2026-09-15,external_web_research,requires_point_extraction,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.,Prompt 3 package 2026-09-15: source metadata dan lisensi CC BY 4.0 terverifikasi; ghi_value tetap NULL menunggu ekstraksi titik/raster. ghi_unit dikosongkan karena tidak ada nilai; satuan yang diharapkan dicatat di ghi_unit_expected.,kWh/m²/day,site_point_requested,not_yet_eligible,CC BY 4.0,true
SOL-007,EDU-007,SMKN 1 BATU AMPAR,-0.7849,109.4548,,,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,B,primary_spatial_screening,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,pending,2026-09-15,external_web_research,requires_point_extraction,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.,Prompt 3 package 2026-09-15: source metadata dan lisensi CC BY 4.0 terverifikasi; ghi_value tetap NULL menunggu ekstraksi titik/raster. ghi_unit dikosongkan karena tidak ada nilai; satuan yang diharapkan dicatat di ghi_unit_expected.,kWh/m²/day,site_point_requested,not_yet_eligible,CC BY 4.0,true
SOL-008,HLT-001,PUSKESMAS PADANG TIKAR,-0.68395,109.27088,,,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,B,primary_spatial_screening,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,pending,2026-09-15,external_web_research,requires_point_extraction,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.,Prompt 3 package 2026-09-15: source metadata dan lisensi CC BY 4.0 terverifikasi; ghi_value tetap NULL menunggu ekstraksi titik/raster. ghi_unit dikosongkan karena tidak ada nilai; satuan yang diharapkan dicatat di ghi_unit_expected.,kWh/m²/day,site_point_requested,not_yet_eligible,CC BY 4.0,true
SOL-009,HLT-002,PUSKESMAS SUNGAI KERAWANG,-0.84319384,109.7554378,,,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,B,primary_spatial_screening,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,pending,2026-09-15,external_web_research,requires_point_extraction,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.,Prompt 3 package 2026-09-15: source metadata dan lisensi CC BY 4.0 terverifikasi; ghi_value tetap NULL menunggu ekstraksi titik/raster. ghi_unit dikosongkan karena tidak ada nilai; satuan yang diharapkan dicatat di ghi_unit_expected.,kWh/m²/day,site_point_requested,not_yet_eligible,CC BY 4.0,true
SOL-010,HLT-003,PUSKESMAS KUBU,-0.50136262,109.3756266,,,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,B,primary_spatial_screening,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,pending,2026-09-15,external_web_research,requires_point_extraction,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.,Prompt 3 package 2026-09-15: source metadata dan lisensi CC BY 4.0 terverifikasi; ghi_value tetap NULL menunggu ekstraksi titik/raster. ghi_unit dikosongkan karena tidak ada nilai; satuan yang diharapkan dicatat di ghi_unit_expected.,kWh/m²/day,site_point_requested,not_yet_eligible,CC BY 4.0,true
