beneficiary_observation_id,record_id,facility_type,beneficiary_value,beneficiary_type,beneficiary_unit,is_proxy,proxy_level,proxy_overlap_risk,geographic_scope,data_reference_date,data_year,source_name,source_url,source_authority,retrieved_at,verification_method,verification_status,notes,why_null
BEN-EDU-001,EDU-001,Sekolah,994,student_count,peserta_didik,false,,,facility,2026-09-14,2026,Kemendikdasmen - Residu Data Induk Pendidikan,https://referensi.data.kemendikdasmen.go.id/residu/pesertadidik/wilayah/131310/3?jenjang=Dikmen,A,2026-09-14,external_manual_verification,verified_primary,"Jumlah Peserta Didik pada tabel Kecamatan Sungai Raya tanggal 14 September 2026.",
BEN-EDU-002,EDU-002,Sekolah,777,student_count,peserta_didik,false,,,facility,2026-04-16,2026,Kemendikdasmen - Residu Data Induk Pendidikan,https://referensi.data.kemendikdasmen.go.id/residu/pesertadidik/wilayah/131305/3,A,2026-09-14,external_manual_verification,verified_primary,"Snapshot resmi bertanggal 16 April 2026. Data lebih lama dibanding beberapa kandidat lain; recency harus dipertahankan.",
BEN-EDU-003,EDU-003,Sekolah,272,student_count,peserta_didik,false,,,facility,2026-09-14,2026,Kemendikdasmen - Residu Data Induk Pendidikan,https://referensi.data.kemendikdasmen.go.id/residu/pesertadidik/wilayah/131309/3,A,2026-09-14,external_manual_verification,verified_primary,"Jumlah Peserta Didik pada tabel Kecamatan Terentang tanggal 14 September 2026.",
BEN-EDU-004,EDU-004,Sekolah,,unknown,peserta_didik,false,,,facility,,2026,Kemendikdasmen,,,2026-09-14,external_manual_verification,requires_verification,"Belum dipilih nilai canonical karena terdapat variasi jumlah peserta didik pada view resmi yang berbeda.","Official-source values require reconciliation; keep NULL."
BEN-EDU-005,EDU-005,Sekolah,46,student_count,peserta_didik,false,,,facility,2026-09-14,2026,Kemendikdasmen - Residu Data Induk Pendidikan,https://referensi.data.kemendikdasmen.go.id/residu/pesertadidik/wilayah/131311/3?jenjang=Dikdas,A,2026-09-14,external_manual_verification,verified_primary,"Jumlah Peserta Didik pada tabel Kecamatan Batu Ampar tanggal 14 September 2026.",
BEN-EDU-006,EDU-006,Sekolah,333,student_count,peserta_didik,false,,,facility,2026-09-14,2026,Kemendikdasmen - Residu Data Induk Pendidikan,https://referensi.data.kemendikdasmen.go.id/residu/pesertadidik/wilayah/131311/3?jenjang=Dikdas,A,2026-09-14,external_manual_verification,verified_primary,"Jumlah Peserta Didik pada tabel Kecamatan Batu Ampar tanggal 14 September 2026.",
BEN-EDU-007,EDU-007,Sekolah,158,student_count,peserta_didik,false,,,facility,,2026,Kemendikdasmen - Residu Data Induk Pendidikan,https://referensi.data.kemendikdasmen.go.id/residu/satuanpendidikan/detail/30109720,A,2026-09-14,external_manual_verification,verified_primary,"Halaman detail resmi menunjukkan Peserta Didik [Total] = 158. Record-specific reference date tidak ditampilkan; retrieved_at dipertahankan terpisah.",
BEN-HLT-001,HLT-001,Puskesmas,,unknown,jiwa,true,,true,facility,,,,"",,2026-09-14,external_manual_verification,requires_verification,"Service/work-area population belum ditemukan. District population tidak digunakan karena risiko overlap dengan HLT-002.","No verified facility-level beneficiary."
BEN-HLT-002,HLT-002,Puskesmas,,unknown,jiwa,true,,true,facility,,,,"",,2026-09-14,external_manual_verification,requires_verification,"Service/work-area population belum ditemukan. District population tidak digunakan karena risiko overlap dengan HLT-001.","No verified facility-level beneficiary."
BEN-HLT-003,HLT-003,Puskesmas,,unknown,jiwa,true,,unknown,facility,,,,"",,2026-09-14,external_manual_verification,requires_verification,"Service/work-area population belum ditemukan. Tidak menggunakan population proxy agar tidak menciptakan beneficiary palsu.","No verified facility-level beneficiary."
