hazard_observation_id,record_id,facility_name,latitude,longitude,hazard_type,metric_type,raw_value,raw_class,unit_or_scale,spatial_scope,scoring_eligibility,low_area_ha,medium_area_ha,high_area_ha,total_area_ha,source_name,source_url,source_authority,dataset_year_or_period,extraction_method,retrieved_at,verification_method,verification_status,notes,why_null
HAZ-KAR-EDU-001,EDU-001,SMAN 1 SUNGAI RAYA,-0.0762,109.3758,karhutla,hazard,,Tinggi,kelas Rendah/Sedang/Tinggi,kecamatan (district-level structural proxy),provisional_district_proxy,7652.88,47596.14,62135.37,117384.39,"Wijaya, Akbar & Romiyanto (2024) - Tabel 10 Kelas Bahaya Bencana Karhutla",https://journal.ummat.ac.id/index.php/geography/article/download/20988/pdf,peer-reviewed secondary; Universitas Tanjungpura / GEOGRAPHY journal,Hasil pengolahan data 2023; published 2024,district_class_join from published Table 10,2026-09-15,external_manual_verification,verified_secondary,This is NOT InaRISK point-pixel extraction. It is a structural district-level hazard proxy and must remain labeled as such.,
HAZ-DRT-EDU-001,EDU-001,SMAN 1 SUNGAI RAYA,-0.0762,109.3758,kekeringan,hazard,,Rendah,kelas kabupaten,Kabupaten Kubu Raya (regency context only),context_only_not_site_scoring,849120.24,5785.46,0.0,854905.7,Dokumen Kajian Risiko Bencana Kabupaten Kubu Raya 2026-2030 (secondary copy),https://id.scribd.com/document/965327954/Survey-IKM-Kab-Kubu-Raya-Tahun-2025-2029,secondary copy of KRB material; requires official-copy confirmation,2026-2030,regency-level class/context join; no point sampling,2026-09-15,external_web_research,secondary_copy_requires_official_confirmation,"KRB copy reports overall drought hazard class Rendah for Kubu Raya: Low 849,120.24 ha; Medium 5,785.46 ha; High 0 ha. This is not site-specific and MUST NOT be used as a site discriminator.",Exact InaRISK point-pixel drought value could not be queried through the available runtime.
HAZ-KAR-EDU-002,EDU-002,SMAN 1 SUNGAI KAKAP,-0.0565,109.2021,karhutla,hazard,,Sedang,kelas Rendah/Sedang/Tinggi,kecamatan (district-level structural proxy),provisional_district_proxy,666.81,47700.9,10704.78,59072.49,"Wijaya, Akbar & Romiyanto (2024) - Tabel 10 Kelas Bahaya Bencana Karhutla",https://journal.ummat.ac.id/index.php/geography/article/download/20988/pdf,peer-reviewed secondary; Universitas Tanjungpura / GEOGRAPHY journal,Hasil pengolahan data 2023; published 2024,district_class_join from published Table 10,2026-09-15,external_manual_verification,verified_secondary,This is NOT InaRISK point-pixel extraction. It is a structural district-level hazard proxy and must remain labeled as such.,
HAZ-DRT-EDU-002,EDU-002,SMAN 1 SUNGAI KAKAP,-0.0565,109.2021,kekeringan,hazard,,Rendah,kelas kabupaten,Kabupaten Kubu Raya (regency context only),context_only_not_site_scoring,849120.24,5785.46,0.0,854905.7,Dokumen Kajian Risiko Bencana Kabupaten Kubu Raya 2026-2030 (secondary copy),https://id.scribd.com/document/965327954/Survey-IKM-Kab-Kubu-Raya-Tahun-2025-2029,secondary copy of KRB material; requires official-copy confirmation,2026-2030,regency-level class/context join; no point sampling,2026-09-15,external_web_research,secondary_copy_requires_official_confirmation,"KRB copy reports overall drought hazard class Rendah for Kubu Raya: Low 849,120.24 ha; Medium 5,785.46 ha; High 0 ha. This is not site-specific and MUST NOT be used as a site discriminator.",Exact InaRISK point-pixel drought value could not be queried through the available runtime.
HAZ-KAR-EDU-003,EDU-003,SMP NEGERI 1 TERENTANG,-0.3839,109.6277,karhutla,hazard,,Sedang,kelas Rendah/Sedang/Tinggi,kecamatan (district-level structural proxy),provisional_district_proxy,4699.98,59683.14,21280.86,85663.98,"Wijaya, Akbar & Romiyanto (2024) - Tabel 10 Kelas Bahaya Bencana Karhutla",https://journal.ummat.ac.id/index.php/geography/article/download/20988/pdf,peer-reviewed secondary; Universitas Tanjungpura / GEOGRAPHY journal,Hasil pengolahan data 2023; published 2024,district_class_join from published Table 10,2026-09-15,external_manual_verification,verified_secondary,This is NOT InaRISK point-pixel extraction. It is a structural district-level hazard proxy and must remain labeled as such.,
HAZ-DRT-EDU-003,EDU-003,SMP NEGERI 1 TERENTANG,-0.3839,109.6277,kekeringan,hazard,,Rendah,kelas kabupaten,Kabupaten Kubu Raya (regency context only),context_only_not_site_scoring,849120.24,5785.46,0.0,854905.7,Dokumen Kajian Risiko Bencana Kabupaten Kubu Raya 2026-2030 (secondary copy),https://id.scribd.com/document/965327954/Survey-IKM-Kab-Kubu-Raya-Tahun-2025-2029,secondary copy of KRB material; requires official-copy confirmation,2026-2030,regency-level class/context join; no point sampling,2026-09-15,external_web_research,secondary_copy_requires_official_confirmation,"KRB copy reports overall drought hazard class Rendah for Kubu Raya: Low 849,120.24 ha; Medium 5,785.46 ha; High 0 ha. This is not site-specific and MUST NOT be used as a site discriminator.",Exact InaRISK point-pixel drought value could not be queried through the available runtime.
HAZ-KAR-EDU-004,EDU-004,SMAN 1 KUBU,-0.4882,109.3812,karhutla,hazard,,Sedang,kelas Rendah/Sedang/Tinggi,kecamatan (district-level structural proxy),provisional_district_proxy,4616.73,80613.0,77338.26,162567.99,"Wijaya, Akbar & Romiyanto (2024) - Tabel 10 Kelas Bahaya Bencana Karhutla",https://journal.ummat.ac.id/index.php/geography/article/download/20988/pdf,peer-reviewed secondary; Universitas Tanjungpura / GEOGRAPHY journal,Hasil pengolahan data 2023; published 2024,district_class_join from published Table 10,2026-09-15,external_manual_verification,verified_secondary,This is NOT InaRISK point-pixel extraction. It is a structural district-level hazard proxy and must remain labeled as such.,
HAZ-DRT-EDU-004,EDU-004,SMAN 1 KUBU,-0.4882,109.3812,kekeringan,hazard,,Rendah,kelas kabupaten,Kabupaten Kubu Raya (regency context only),context_only_not_site_scoring,849120.24,5785.46,0.0,854905.7,Dokumen Kajian Risiko Bencana Kabupaten Kubu Raya 2026-2030 (secondary copy),https://id.scribd.com/document/965327954/Survey-IKM-Kab-Kubu-Raya-Tahun-2025-2029,secondary copy of KRB material; requires official-copy confirmation,2026-2030,regency-level class/context join; no point sampling,2026-09-15,external_web_research,secondary_copy_requires_official_confirmation,"KRB copy reports overall drought hazard class Rendah for Kubu Raya: Low 849,120.24 ha; Medium 5,785.46 ha; High 0 ha. This is not site-specific and MUST NOT be used as a site discriminator.",Exact InaRISK point-pixel drought value could not be queried through the available runtime.
HAZ-KAR-EDU-005,EDU-005,SD NEGERI 22 BATU AMPAR,-0.7245,109.5745,karhutla,hazard,,Sedang,kelas Rendah/Sedang/Tinggi,kecamatan (district-level structural proxy),provisional_district_proxy,22247.91,120107.7,77456.97,219812.58,"Wijaya, Akbar & Romiyanto (2024) - Tabel 10 Kelas Bahaya Bencana Karhutla",https://journal.ummat.ac.id/index.php/geography/article/download/20988/pdf,peer-reviewed secondary; Universitas Tanjungpura / GEOGRAPHY journal,Hasil pengolahan data 2023; published 2024,district_class_join from published Table 10,2026-09-15,external_manual_verification,verified_secondary,This is NOT InaRISK point-pixel extraction. It is a structural district-level hazard proxy and must remain labeled as such.,
HAZ-DRT-EDU-005,EDU-005,SD NEGERI 22 BATU AMPAR,-0.7245,109.5745,kekeringan,hazard,,Rendah,kelas kabupaten,Kabupaten Kubu Raya (regency context only),context_only_not_site_scoring,849120.24,5785.46,0.0,854905.7,Dokumen Kajian Risiko Bencana Kabupaten Kubu Raya 2026-2030 (secondary copy),https://id.scribd.com/document/965327954/Survey-IKM-Kab-Kubu-Raya-Tahun-2025-2029,secondary copy of KRB material; requires official-copy confirmation,2026-2030,regency-level class/context join; no point sampling,2026-09-15,external_web_research,secondary_copy_requires_official_confirmation,"KRB copy reports overall drought hazard class Rendah for Kubu Raya: Low 849,120.24 ha; Medium 5,785.46 ha; High 0 ha. This is not site-specific and MUST NOT be used as a site discriminator.",Exact InaRISK point-pixel drought value could not be queried through the available runtime.
HAZ-KAR-EDU-006,EDU-006,SD NEGERI 07 BATU AMPAR,-0.7516,109.5388,karhutla,hazard,,Sedang,kelas Rendah/Sedang/Tinggi,kecamatan (district-level structural proxy),provisional_district_proxy,22247.91,120107.7,77456.97,219812.58,"Wijaya, Akbar & Romiyanto (2024) - Tabel 10 Kelas Bahaya Bencana Karhutla",https://journal.ummat.ac.id/index.php/geography/article/download/20988/pdf,peer-reviewed secondary; Universitas Tanjungpura / GEOGRAPHY journal,Hasil pengolahan data 2023; published 2024,district_class_join from published Table 10,2026-09-15,external_manual_verification,verified_secondary,This is NOT InaRISK point-pixel extraction. It is a structural district-level hazard proxy and must remain labeled as such.,
HAZ-DRT-EDU-006,EDU-006,SD NEGERI 07 BATU AMPAR,-0.7516,109.5388,kekeringan,hazard,,Rendah,kelas kabupaten,Kabupaten Kubu Raya (regency context only),context_only_not_site_scoring,849120.24,5785.46,0.0,854905.7,Dokumen Kajian Risiko Bencana Kabupaten Kubu Raya 2026-2030 (secondary copy),https://id.scribd.com/document/965327954/Survey-IKM-Kab-Kubu-Raya-Tahun-2025-2029,secondary copy of KRB material; requires official-copy confirmation,2026-2030,regency-level class/context join; no point sampling,2026-09-15,external_web_research,secondary_copy_requires_official_confirmation,"KRB copy reports overall drought hazard class Rendah for Kubu Raya: Low 849,120.24 ha; Medium 5,785.46 ha; High 0 ha. This is not site-specific and MUST NOT be used as a site discriminator.",Exact InaRISK point-pixel drought value could not be queried through the available runtime.
HAZ-KAR-EDU-007,EDU-007,SMKN 1 BATU AMPAR,-0.7849,109.4548,karhutla,hazard,,Sedang,kelas Rendah/Sedang/Tinggi,kecamatan (district-level structural proxy),provisional_district_proxy,22247.91,120107.7,77456.97,219812.58,"Wijaya, Akbar & Romiyanto (2024) - Tabel 10 Kelas Bahaya Bencana Karhutla",https://journal.ummat.ac.id/index.php/geography/article/download/20988/pdf,peer-reviewed secondary; Universitas Tanjungpura / GEOGRAPHY journal,Hasil pengolahan data 2023; published 2024,district_class_join from published Table 10,2026-09-15,external_manual_verification,verified_secondary,This is NOT InaRISK point-pixel extraction. It is a structural district-level hazard proxy and must remain labeled as such.,
HAZ-DRT-EDU-007,EDU-007,SMKN 1 BATU AMPAR,-0.7849,109.4548,kekeringan,hazard,,Rendah,kelas kabupaten,Kabupaten Kubu Raya (regency context only),context_only_not_site_scoring,849120.24,5785.46,0.0,854905.7,Dokumen Kajian Risiko Bencana Kabupaten Kubu Raya 2026-2030 (secondary copy),https://id.scribd.com/document/965327954/Survey-IKM-Kab-Kubu-Raya-Tahun-2025-2029,secondary copy of KRB material; requires official-copy confirmation,2026-2030,regency-level class/context join; no point sampling,2026-09-15,external_web_research,secondary_copy_requires_official_confirmation,"KRB copy reports overall drought hazard class Rendah for Kubu Raya: Low 849,120.24 ha; Medium 5,785.46 ha; High 0 ha. This is not site-specific and MUST NOT be used as a site discriminator.",Exact InaRISK point-pixel drought value could not be queried through the available runtime.
HAZ-KAR-HLT-001,HLT-001,PUSKESMAS PADANG TIKAR,-0.68395,109.27088,karhutla,hazard,,Sedang,kelas Rendah/Sedang/Tinggi,kecamatan (district-level structural proxy),provisional_district_proxy,22247.91,120107.7,77456.97,219812.58,"Wijaya, Akbar & Romiyanto (2024) - Tabel 10 Kelas Bahaya Bencana Karhutla",https://journal.ummat.ac.id/index.php/geography/article/download/20988/pdf,peer-reviewed secondary; Universitas Tanjungpura / GEOGRAPHY journal,Hasil pengolahan data 2023; published 2024,district_class_join from published Table 10,2026-09-15,external_manual_verification,verified_secondary,This is NOT InaRISK point-pixel extraction. It is a structural district-level hazard proxy and must remain labeled as such.,
HAZ-DRT-HLT-001,HLT-001,PUSKESMAS PADANG TIKAR,-0.68395,109.27088,kekeringan,hazard,,Rendah,kelas kabupaten,Kabupaten Kubu Raya (regency context only),context_only_not_site_scoring,849120.24,5785.46,0.0,854905.7,Dokumen Kajian Risiko Bencana Kabupaten Kubu Raya 2026-2030 (secondary copy),https://id.scribd.com/document/965327954/Survey-IKM-Kab-Kubu-Raya-Tahun-2025-2029,secondary copy of KRB material; requires official-copy confirmation,2026-2030,regency-level class/context join; no point sampling,2026-09-15,external_web_research,secondary_copy_requires_official_confirmation,"KRB copy reports overall drought hazard class Rendah for Kubu Raya: Low 849,120.24 ha; Medium 5,785.46 ha; High 0 ha. This is not site-specific and MUST NOT be used as a site discriminator.",Exact InaRISK point-pixel drought value could not be queried through the available runtime.
HAZ-KAR-HLT-002,HLT-002,PUSKESMAS SUNGAI KERAWANG,-0.84319384,109.7554378,karhutla,hazard,,Sedang,kelas Rendah/Sedang/Tinggi,kecamatan (district-level structural proxy),provisional_district_proxy,22247.91,120107.7,77456.97,219812.58,"Wijaya, Akbar & Romiyanto (2024) - Tabel 10 Kelas Bahaya Bencana Karhutla",https://journal.ummat.ac.id/index.php/geography/article/download/20988/pdf,peer-reviewed secondary; Universitas Tanjungpura / GEOGRAPHY journal,Hasil pengolahan data 2023; published 2024,district_class_join from published Table 10,2026-09-15,external_manual_verification,verified_secondary,This is NOT InaRISK point-pixel extraction. It is a structural district-level hazard proxy and must remain labeled as such.,
HAZ-DRT-HLT-002,HLT-002,PUSKESMAS SUNGAI KERAWANG,-0.84319384,109.7554378,kekeringan,hazard,,Rendah,kelas kabupaten,Kabupaten Kubu Raya (regency context only),context_only_not_site_scoring,849120.24,5785.46,0.0,854905.7,Dokumen Kajian Risiko Bencana Kabupaten Kubu Raya 2026-2030 (secondary copy),https://id.scribd.com/document/965327954/Survey-IKM-Kab-Kubu-Raya-Tahun-2025-2029,secondary copy of KRB material; requires official-copy confirmation,2026-2030,regency-level class/context join; no point sampling,2026-09-15,external_web_research,secondary_copy_requires_official_confirmation,"KRB copy reports overall drought hazard class Rendah for Kubu Raya: Low 849,120.24 ha; Medium 5,785.46 ha; High 0 ha. This is not site-specific and MUST NOT be used as a site discriminator.",Exact InaRISK point-pixel drought value could not be queried through the available runtime.
HAZ-KAR-HLT-003,HLT-003,PUSKESMAS KUBU,-0.50136262,109.3756266,karhutla,hazard,,Sedang,kelas Rendah/Sedang/Tinggi,kecamatan (district-level structural proxy),provisional_district_proxy,4616.73,80613.0,77338.26,162567.99,"Wijaya, Akbar & Romiyanto (2024) - Tabel 10 Kelas Bahaya Bencana Karhutla",https://journal.ummat.ac.id/index.php/geography/article/download/20988/pdf,peer-reviewed secondary; Universitas Tanjungpura / GEOGRAPHY journal,Hasil pengolahan data 2023; published 2024,district_class_join from published Table 10,2026-09-15,external_manual_verification,verified_secondary,This is NOT InaRISK point-pixel extraction. It is a structural district-level hazard proxy and must remain labeled as such.,
