solar_observation_id,record_id,facility_name,latitude,longitude,ghi_value,ghi_unit,value_scope,scoring_eligibility,source_name,source_url,source_dataset,source_authority,spatial_resolution,temporal_coverage,data_year_or_period,extraction_method,retrieved_at,verification_method,verification_status,license,attribution_required,notes,why_null
SOL-EDU-001,EDU-001,SMAN 1 SUNGAI RAYA,-0.0762,109.3758,,kWh/m²/day,site_point_requested,not_yet_eligible,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,World Bank Group / ESMAP / Solargis,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,2026-09-15,external_web_research,requires_point_extraction,CC BY 4.0,true,Target row and source metadata are verified. Exact GHI point value intentionally left NULL because this runtime could not query/download the raster at the target coordinate.,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.
SOL-EDU-002,EDU-002,SMAN 1 SUNGAI KAKAP,-0.0565,109.2021,,kWh/m²/day,site_point_requested,not_yet_eligible,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,World Bank Group / ESMAP / Solargis,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,2026-09-15,external_web_research,requires_point_extraction,CC BY 4.0,true,Target row and source metadata are verified. Exact GHI point value intentionally left NULL because this runtime could not query/download the raster at the target coordinate.,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.
SOL-EDU-003,EDU-003,SMP NEGERI 1 TERENTANG,-0.3839,109.6277,,kWh/m²/day,site_point_requested,not_yet_eligible,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,World Bank Group / ESMAP / Solargis,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,2026-09-15,external_web_research,requires_point_extraction,CC BY 4.0,true,Target row and source metadata are verified. Exact GHI point value intentionally left NULL because this runtime could not query/download the raster at the target coordinate.,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.
SOL-EDU-004,EDU-004,SMAN 1 KUBU,-0.4882,109.3812,,kWh/m²/day,site_point_requested,not_yet_eligible,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,World Bank Group / ESMAP / Solargis,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,2026-09-15,external_web_research,requires_point_extraction,CC BY 4.0,true,Target row and source metadata are verified. Exact GHI point value intentionally left NULL because this runtime could not query/download the raster at the target coordinate.,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.
SOL-EDU-005,EDU-005,SD NEGERI 22 BATU AMPAR,-0.7245,109.5745,,kWh/m²/day,site_point_requested,not_yet_eligible,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,World Bank Group / ESMAP / Solargis,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,2026-09-15,external_web_research,requires_point_extraction,CC BY 4.0,true,Target row and source metadata are verified. Exact GHI point value intentionally left NULL because this runtime could not query/download the raster at the target coordinate.,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.
SOL-EDU-006,EDU-006,SD NEGERI 07 BATU AMPAR,-0.7516,109.5388,,kWh/m²/day,site_point_requested,not_yet_eligible,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,World Bank Group / ESMAP / Solargis,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,2026-09-15,external_web_research,requires_point_extraction,CC BY 4.0,true,Target row and source metadata are verified. Exact GHI point value intentionally left NULL because this runtime could not query/download the raster at the target coordinate.,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.
SOL-EDU-007,EDU-007,SMKN 1 BATU AMPAR,-0.7849,109.4548,,kWh/m²/day,site_point_requested,not_yet_eligible,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,World Bank Group / ESMAP / Solargis,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,2026-09-15,external_web_research,requires_point_extraction,CC BY 4.0,true,Target row and source metadata are verified. Exact GHI point value intentionally left NULL because this runtime could not query/download the raster at the target coordinate.,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.
SOL-HLT-001,HLT-001,PUSKESMAS PADANG TIKAR,-0.68395,109.27088,,kWh/m²/day,site_point_requested,not_yet_eligible,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,World Bank Group / ESMAP / Solargis,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,2026-09-15,external_web_research,requires_point_extraction,CC BY 4.0,true,Target row and source metadata are verified. Exact GHI point value intentionally left NULL because this runtime could not query/download the raster at the target coordinate.,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.
SOL-HLT-002,HLT-002,PUSKESMAS SUNGAI KERAWANG,-0.84319384,109.7554378,,kWh/m²/day,site_point_requested,not_yet_eligible,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,World Bank Group / ESMAP / Solargis,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,2026-09-15,external_web_research,requires_point_extraction,CC BY 4.0,true,Target row and source metadata are verified. Exact GHI point value intentionally left NULL because this runtime could not query/download the raster at the target coordinate.,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.
SOL-HLT-003,HLT-003,PUSKESMAS KUBU,-0.50136262,109.3756266,,kWh/m²/day,site_point_requested,not_yet_eligible,Global Solar Atlas 2.0,https://energydata.info/dataset/world-global-horizontal-irradiation-ghi-gis-data-global-solar-atlas,GHI LTAy_AvgDailyTotals,World Bank Group / ESMAP / Solargis,9 arcsec (~250 m),long-term average,World layer latest metadata; exact raster vintage should be preserved on extraction,pending_point_raster_extraction,2026-09-15,external_web_research,requires_point_extraction,CC BY 4.0,true,Target row and source metadata are verified. Exact GHI point value intentionally left NULL because this runtime could not query/download the raster at the target coordinate.,Exact Global Solar Atlas point/raster value could not be extracted through the available web runtime; no value was guessed or interpolated from map colors.
